Real,Immediate,Intermediate,Clusters,Barebones
732.0,651.493,1047.0436,983.5344,471.05164
215.0,477.65234,313.3225,315.7233,370.30753
267.0,536.9549,446.96075,419.0463,471.05164
402.0,437.99207,473.97458,468.5337,471.05164
482.0,507.99152,448.21515,454.3482,471.05164
364.0,407.0006,474.95154,514.00964,488.6866
751.0,436.4149,529.32996,482.9289,367.2175
199.0,508.1774,259.23724,276.01334,399.90228
283.0,526.3058,285.76538,269.29163,453.9002
384.0,451.97473,499.7459,478.02057,471.05164
286.0,477.59668,303.41965,284.96695,453.9002
372.0,469.08655,479.4616,441.81784,471.05164
365.0,511.05945,366.21674,402.566,370.30753
302.0,514.2646,328.78436,312.98682,453.9002
252.0,408.14127,259.08124,308.08273,385.10492
369.0,292.24475,214.4808,395.48886,429.4971
172.0,460.8931,300.2079,274.22,471.05164
643.0,504.52042,749.99963,712.12134,471.05164
469.0,587.33826,419.54175,628.5636,429.4971
280.0,515.3065,345.32043,346.44708,471.05164
265.0,586.822,411.52158,422.09433,370.30753
413.0,508.5506,511.78183,465.7414,370.30753
190.0,634.2739,284.2902,510.80325,414.69968
584.0,438.59348,610.96155,603.4924,471.05164
317.0,478.3445,261.23135,266.97217,385.10492
727.0,482.52,757.4155,784.6682,488.6866
368.0,454.63187,377.2321,401.1868,370.30753
67.0,346.36945,286.4653,299.08585,414.69968
899.0,494.1152,836.71173,812.7988,471.05164
375.0,584.7124,527.073,500.45596,471.05164
805.0,486.99893,469.5351,450.77887,453.9002
544.0,410.0123,588.6943,574.1378,471.05164
580.0,495.8555,439.96698,421.83075,419.59738
488.0,427.02707,401.15863,407.68665,471.05164
529.0,365.32812,427.66006,531.43994,399.90228
402.0,478.34818,495.19794,467.92584,471.05164
190.0,299.03653,152.6845,164.68323,453.9002
508.0,411.61575,629.47156,589.8322,471.05164
398.0,530.57263,524.21747,430.2476,471.05164
491.0,489.46445,288.6532,266.54477,453.9002
258.0,538.843,331.27426,312.9288,414.69968
708.0,482.34985,741.72235,735.745,471.05164
662.0,511.73557,671.5676,625.8505,471.05164
289.0,416.41614,153.28723,158.90677,399.90228
191.0,554.141,327.10645,259.0602,367.2175
483.0,515.4037,343.7827,378.5632,385.10492
487.0,509.52115,565.1555,548.2007,471.05164
624.0,472.2663,468.94427,456.4515,419.59738
570.0,474.6078,689.59644,673.50024,471.05164
971.0,468.09155,728.58905,743.2779,471.05164
91.0,346.49503,149.91454,42.659306,436.7488
366.0,501.32486,313.80453,301.53043,453.9002
159.0,369.5898,265.4438,275.81528,471.05164
406.0,509.04544,446.62064,418.01392,471.05164
259.0,525.82825,326.70056,361.98013,370.30753
394.0,511.89005,336.0846,335.19308,471.05164
202.0,510.4592,380.29773,349.6451,471.05164
760.0,494.16357,600.8699,576.629,471.05164
366.0,404.2913,450.03253,427.21375,471.05164
119.0,529.51404,269.51746,231.9676,471.05164
609.0,393.0919,439.51874,456.14838,419.59738
362.0,471.00177,481.42526,459.8185,385.10492
74.0,368.1864,142.23758,90.48004,471.05164
232.0,495.1675,420.7461,388.6125,471.05164
407.0,484.45743,303.5027,317.64575,385.10492
243.0,572.2916,286.28232,531.96594,473.88922
160.0,494.79123,268.7398,261.6765,385.10492
835.0,506.75345,691.1022,640.5913,471.05164
442.0,407.5294,533.13635,518.54565,471.05164
734.0,450.5685,454.44418,461.89014,419.59738
1480.0,428.95596,413.92566,402.935,367.2175
403.0,408.0571,464.84076,443.9445,471.05164
148.0,470.11935,310.91525,287.50293,471.05164
443.0,474.5302,563.6397,542.04114,471.05164
453.0,581.3521,741.84,694.93555,471.05164
441.0,502.07025,402.27045,371.57883,453.9002
527.0,385.7336,304.76105,340.18747,385.10492
526.0,552.331,646.2273,624.8009,471.05164
696.0,521.7964,744.9446,713.4462,471.05164
441.0,510.14618,519.04626,470.3593,471.05164
220.0,457.12503,255.0992,133.61084,453.9002
367.0,498.87094,408.32635,443.34402,370.30753
534.0,486.31018,302.49686,337.11615,385.10492
241.0,388.24063,409.3717,375.48508,471.05164
723.0,472.1628,551.9785,526.5561,471.05164
883.0,399.46338,858.0709,870.5709,471.05164
613.0,419.70718,625.8878,611.49695,471.05164
209.0,322.77225,352.45673,660.76465,459.09186
332.0,408.91208,451.77188,425.1871,471.05164
750.0,492.59943,791.94275,783.99207,471.05164
425.0,353.53812,258.4499,300.14566,453.9002
150.0,557.5524,380.07538,357.5915,473.88922
289.0,585.8168,726.74207,721.6975,471.05164
322.0,446.09058,379.94992,362.5535,471.05164
207.0,467.8285,279.1885,274.80936,370.30753
512.0,523.17804,637.10706,574.3491,394.21466
336.0,383.7498,456.07892,521.9666,471.05164
701.0,529.246,694.26337,650.0044,471.05164
224.0,555.9661,282.6371,267.3289,471.05164
146.0,473.79062,164.8816,71.55831,471.05164
604.0,495.6361,472.74783,454.18158,419.59738
682.0,533.71533,696.1675,655.1348,471.05164
741.0,504.06125,811.5126,794.1769,471.05164
665.0,544.5769,580.8423,557.87854,471.05164
631.0,482.43887,464.8113,441.12885,471.05164
370.0,348.15533,426.23584,484.57962,444.29446
222.0,596.6731,391.20013,267.3749,367.2175
404.0,583.0803,460.79907,449.14865,471.05164
244.0,453.00134,183.8846,256.93048,370.30753
136.0,465.07333,310.73193,284.14484,471.05164
350.0,408.58365,452.79935,427.43866,471.05164
109.0,524.79553,348.6232,400.48853,488.6866
469.0,476.27048,518.9109,494.91818,471.05164
664.0,518.38916,732.16797,712.4098,471.05164
315.0,460.05838,327.27094,309.7109,471.05164
241.0,452.5212,284.86935,455.5714,473.88922
81.0,541.78564,175.8652,64.666336,436.7488
593.0,499.93954,448.2513,441.02542,419.59738
293.0,533.37976,658.0438,616.13086,471.05164
269.0,472.5607,311.45932,226.25705,367.2175
290.0,425.579,399.16058,407.03864,414.69968
338.0,543.501,384.785,388.6548,471.05164
421.0,464.97855,470.57675,438.99472,471.05164
383.0,533.8519,369.7466,335.8314,453.9002
204.0,529.00385,323.1104,355.61844,370.30753
151.0,424.2161,296.5862,167.98694,370.30753
186.0,423.6288,461.6994,518.4739,414.69968
275.0,556.7539,344.71585,323.9586,453.9002
605.0,399.81644,678.88696,712.79016,471.05164
281.0,478.02567,350.21478,334.6954,471.05164
666.0,562.94653,364.19476,338.6874,453.9002
476.0,522.3506,573.5945,542.38696,471.05164
604.0,471.12494,489.35406,496.57138,419.59738
529.0,335.4939,491.1853,486.05637,471.05164
538.0,512.5516,664.791,641.16797,471.05164
192.0,440.54727,249.60355,293.7623,473.88922
377.0,463.55338,549.3457,558.2593,414.69968
468.0,404.67017,538.98395,526.1782,471.05164
193.0,439.21082,442.44128,317.19778,367.2175
380.0,481.77386,415.6416,436.58878,471.05164
801.0,554.44464,382.69208,418.14722,385.10492
608.0,459.91263,552.37274,564.45264,471.05164
613.0,498.43195,658.2703,652.42725,471.05164
200.0,441.8101,288.91382,261.0389,453.9002
138.0,346.58145,205.14407,265.47818,473.88922
671.0,531.922,718.3877,617.7782,471.05164
238.0,503.72186,399.62738,373.17407,471.05164
217.0,439.6701,268.14093,313.23395,471.05164
497.0,508.10794,423.06757,448.07477,419.59738
354.0,472.92697,463.6161,424.5377,471.05164
658.0,475.13876,442.0733,405.73117,453.9002
438.0,471.19812,376.71576,357.68716,471.05164
825.0,342.5662,762.9663,765.96643,471.05164
114.0,412.8687,264.85748,317.95734,429.4971
360.0,426.33432,359.1372,438.01282,429.4971
349.0,355.30386,430.39816,419.76367,471.05164
262.0,478.8972,286.19443,241.09312,453.9002
147.0,326.4736,254.7705,290.386,471.05164
237.0,378.53857,284.63904,343.2408,429.4971
493.0,512.8645,605.8002,568.4714,471.05164
371.0,477.65234,397.90442,428.1215,370.30753
427.0,517.353,587.88354,542.9624,471.05164
366.0,498.0511,355.10822,353.26688,419.59738
584.0,456.20337,651.6232,626.7188,471.05164
418.0,494.18472,302.99634,260.79874,453.9002
353.0,401.43936,279.52896,329.52762,385.10492
725.0,348.025,407.20764,468.23862,471.05164
718.0,514.01587,739.71185,728.03723,471.05164
469.0,510.6861,487.18182,457.32803,471.05164
157.0,429.40927,228.69055,210.04126,419.5974
540.0,475.78976,272.2788,294.65945,385.10492
